"","state","sex","age","race","party","n"
"43","AL","Female","<25","Other","Democratic",4959
"44","AL","Female","<25","Other","Other",3580
"45","AL","Female","<25","Other","Republican",2945
"46","AL","Female",">65","Black","Democratic",76855
"47","AL","Female",">65","Black","Other",228
"48","AL","Female",">65","Black","Republican",2869
"49","AL","Female",">65","Non-Hispanic White","Democratic",31276
"50","AL","Female",">65","Non-Hispanic White","Other",23409
"51","AL","Female",">65","Non-Hispanic White","Republican",222997
"52","AL","Female",">65","Other","Democratic",6202
"53","AL","Female",">65","Other","Other",5176
"54","AL","Female",">65","Other","Republican",11227
"55","AL","Male","25-34","Black","Democratic",62457
"56","AL","Male","25-34","Black","Other",122
"57","AL","Male","25-34","Black","Republican",964
"58","AL","Male","25-34","Non-Hispanic White","Democratic",7173
"59","AL","Male","25-34","Non-Hispanic White","Other",32839
"60","AL","Male","25-34","Non-Hispanic White","Republican",71251
"61","AL","Male","25-34","Other","Democratic",5328
"62","AL","Male","25-34","Other","Other",5295
"63","AL","Male","25-34","Other","Republican",3572
"64","AL","Male","35-44","Black","Democratic",51320
"65","AL","Male","35-44","Black","Other",137
"66","AL","Male","35-44","Black","Republican",989
"67","AL","Male","35-44","Non-Hispanic White","Democratic",8651
"68","AL","Male","35-44","Non-Hispanic White","Other",14819
"69","AL","Male","35-44","Non-Hispanic White","Republican",94573
"70","AL","Male","35-44","Other","Democratic",4978
"71","AL","Male","35-44","Other","Other",4657
"72","AL","Male","35-44","Other","Republican",3648
"73","AL","Male","45-54","Black","Democratic",50876
"74","AL","Male","45-54","Black","Other",154
"75","AL","Male","45-54","Black","Republican",1217
"76","AL","Male","45-54","Non-Hispanic White","Democratic",11492
"77","AL","Male","45-54","Non-Hispanic White","Other",16902
"78","AL","Male","45-54","Non-Hispanic White","Republican",120275
"79","AL","Male","45-54","Other","Democratic",5379
"80","AL","Male","45-54","Other","Other",4714
"81","AL","Male","45-54","Other","Republican",5326
"82","AL","Male","55-64","Black","Democratic",52431
"83","AL","Male","55-64","Black","Other",154
"84","AL","Male","55-64","Black","Republican",1636
"85","AL","Male","55-64","Non-Hispanic White","Democratic",15025
"86","AL","Male","55-64","Non-Hispanic White","Other",15400
"87","AL","Male","55-64","Non-Hispanic White","Republican",131932
"88","AL","Male","55-64","Other","Democratic",4774
"89","AL","Male","55-64","Other","Other",4068
"90","AL","Male","55-64","Other","Republican",6537
"91","AL","Male","<25","Black","Democratic",32300
"92","AL","Male","<25","Black","Other",55
"93","AL","Male","<25","Black","Republican",374
"94","AL","Male","<25","Non-Hispanic White","Democratic",4013
"95","AL","Male","<25","Non-Hispanic White","Other",21061
"96","AL","Male","<25","Non-Hispanic White","Republican",32270
"97","AL","Male","<25","Other","Democratic",3725
"98","AL","Male","<25","Other","Other",2701
"99","AL","Male","<25","Other","Republican",2698
"100","AL","Male",">65","Black","Democratic",48231
"101","AL","Male",">65","Black","Other",162
"102","AL","Male",">65","Black","Republican",2028
"103","AL","Male",">65","Non-Hispanic White","Democratic",23520
"104","AL","Male",">65","Non-Hispanic White","Other",16909
"105","AL","Male",">65","Non-Hispanic White","Republican",182660
"106","AL","Male",">65","Other","Democratic",4705
"107","AL","Male",">65","Other","Other",4172
"108","AL","Male",">65","Other","Republican",9744
"109","AK","Female","25-34","Black","Democratic",134
"110","AK","Female","25-34","Black","Other",72
"111","AK","Female","25-34","Non-Hispanic White","Democratic",2307
"112","AK","Female","25-34","Non-Hispanic White","Other",9872
"113","AK","Female","25-34","Non-Hispanic White","Republican",3493
"114","AK","Female","25-34","Other","Democratic",743
"115","AK","Female","25-34","Other","Other",3139
"116","AK","Female","25-34","Other","Republican",779
"117","AK","Female","35-44","Black","Democratic",494
"118","AK","Female","35-44","Black","Other",256
"119","AK","Female","35-44","Black","Republican",23
"120","AK","Female","35-44","Non-Hispanic White","Democratic",8997
"121","AK","Female","35-44","Non-Hispanic White","Other",34345
"122","AK","Female","35-44","Non-Hispanic White","Republican",13837
"123","AK","Female","35-44","Other","Democratic",3721
"124","AK","Female","35-44","Other","Other",12906
"125","AK","Female","35-44","Other","Republican",3587
"126","AK","Female","45-54","Black","Democratic",150
"127","AK","Female","45-54","Black","Other",58
"128","AK","Female","45-54","Black","Republican",6
"129","AK","Female","45-54","Non-Hispanic White","Democratic",3588
"130","AK","Female","45-54","Non-Hispanic White","Other",13533
"131","AK","Female","45-54","Non-Hispanic White","Republican",7424
"132","AK","Female","45-54","Other","Democratic",1064
"133","AK","Female","45-54","Other","Other",3539
"134","AK","Female","45-54","Other","Republican",1488
"135","AK","Female","55-64","Black","Democratic",210
"136","AK","Female","55-64","Black","Other",57
"137","AK","Female","55-64","Black","Republican",9
"138","AK","Female","55-64","Non-Hispanic White","Democratic",5243
"139","AK","Female","55-64","Non-Hispanic White","Other",16650
"140","AK","Female","55-64","Non-Hispanic White","Republican",8374
"141","AK","Female","55-64","Other","Democratic",1457
"142","AK","Female","55-64","Other","Other",3815
"143","AK","Female","55-64","Other","Republican",1577
"144","AK","Female","<25","Black","Democratic",35
"145","AK","Female","<25","Black","Other",22
"146","AK","Female","<25","Black","Republican",4
"147","AK","Female","<25","Non-Hispanic White","Democratic",555
"148","AK","Female","<25","Non-Hispanic White","Other",2800
"149","AK","Female","<25","Non-Hispanic White","Republican",825
"150","AK","Female","<25","Other","Democratic",205
"151","AK","Female","<25","Other","Other",1014
"152","AK","Female","<25","Other","Republican",212
"153","AK","Female",">65","Black","Democratic",184
"154","AK","Female",">65","Black","Other",30
"155","AK","Female",">65","Black","Republican",8
"156","AK","Female",">65","Non-Hispanic White","Democratic",5400
"157","AK","Female",">65","Non-Hispanic White","Other",14124
"158","AK","Female",">65","Non-Hispanic White","Republican",8011
"159","AK","Female",">65","Other","Democratic",1432
"160","AK","Female",">65","Other","Other",3347
"161","AK","Female",">65","Other","Republican",1376
"162","AK","Male","25-34","Black","Democratic",89
"163","AK","Male","25-34","Black","Other",54
"164","AK","Male","25-34","Black","Republican",3
"165","AK","Male","25-34","Non-Hispanic White","Democratic",1675
"166","AK","Male","25-34","Non-Hispanic White","Other",9722
"167","AK","Male","25-34","Non-Hispanic White","Republican",4290
"168","AK","Male","25-34","Other","Democratic",584
"169","AK","Male","25-34","Other","Other",2719
"170","AK","Male","25-34","Other","Republican",936
"171","AK","Male","35-44","Black","Democratic",428
"172","AK","Male","35-44","Black","Other",266
"173","AK","Male","35-44","Black","Republican",19
"174","AK","Male","35-44","Non-Hispanic White","Democratic",7425
"175","AK","Male","35-44","Non-Hispanic White","Other",38219
"176","AK","Male","35-44","Non-Hispanic White","Republican",17193
"177","AK","Male","35-44","Other","Democratic",3330
"178","AK","Male","35-44","Other","Other",13507
"179","AK","Male","35-44","Other","Republican",4056
"180","AK","Male","45-54","Black","Democratic",125
"181","AK","Male","45-54","Black","Other",41
"182","AK","Male","45-54","Black","Republican",4
"183","AK","Male","45-54","Non-Hispanic White","Democratic",2605
"184","AK","Male","45-54","Non-Hispanic White","Other",14488
"185","AK","Male","45-54","Non-Hispanic White","Republican",9354
"186","AK","Male","45-54","Other","Democratic",930
"187","AK","Male","45-54","Other","Other",3582
"188","AK","Male","45-54","Other","Republican",1836
"189","AK","Male","55-64","Black","Democratic",173
"190","AK","Male","55-64","Black","Other",52
"191","AK","Male","55-64","Black","Republican",10
"192","AK","Male","55-64","Non-Hispanic White","Democratic",3797
"193","AK","Male","55-64","Non-Hispanic White","Other",17903
"194","AK","Male","55-64","Non-Hispanic White","Republican",10583
"195","AK","Male","55-64","Other","Democratic",1250
"196","AK","Male","55-64","Other","Other",4072
"197","AK","Male","55-64","Other","Republican",1857
"198","AK","Male","<25","Black","Democratic",14
"199","AK","Male","<25","Black","Other",25
"200","AK","Male","<25","Non-Hispanic White","Democratic",300
"201","AK","Male","<25","Non-Hispanic White","Other",2055
"202","AK","Male","<25","Non-Hispanic White","Republican",779
"203","AK","Male","<25","Other","Democratic",143
"204","AK","Male","<25","Other","Other",677
"205","AK","Male","<25","Other","Republican",191
"206","AK","Male",">65","Black","Democratic",143
"207","AK","Male",">65","Black","Other",43
"208","AK","Male",">65","Black","Republican",4
"209","AK","Male",">65","Non-Hispanic White","Democratic",4093
"210","AK","Male",">65","Non-Hispanic White","Other",16316
"211","AK","Male",">65","Non-Hispanic White","Republican",9425
"212","AK","Male",">65","Other","Democratic",1243
"213","AK","Male",">65","Other","Other",3442
"214","AK","Male",">65","Other","Republican",1583
"215","AZ","Female","25-34","Black","Democratic",3330
"216","AZ","Female","25-34","Black","Other",1364
"217","AZ","Female","25-34","Black","Republican",76
"218","AZ","Female","25-34","Non-Hispanic White","Democratic",39695
"219","AZ","Female","25-34","Non-Hispanic White","Other",61760
"220","AZ","Female","25-34","Non-Hispanic White","Republican",44890
"221","AZ","Female","25-34","Other","Democratic",41467
"222","AZ","Female","25-34","Other","Other",48270
"223","AZ","Female","25-34","Other","Republican",16063
"224","AZ","Female","35-44","Black","Democratic",3297
"225","AZ","Female","35-44","Black","Other",1108
"226","AZ","Female","35-44","Black","Republican",95
"227","AZ","Female","35-44","Non-Hispanic White","Democratic",41112
"228","AZ","Female","35-44","Non-Hispanic White","Other",54671
"229","AZ","Female","35-44","Non-Hispanic White","Republican",53817
"230","AZ","Female","35-44","Other","Democratic",38637
"231","AZ","Female","35-44","Other","Other",37446
"232","AZ","Female","35-44","Other","Republican",17707
"233","AZ","Female","45-54","Black","Democratic",2897
"234","AZ","Female","45-54","Black","Other",644
"235","AZ","Female","45-54","Black","Republican",90
"236","AZ","Female","45-54","Non-Hispanic White","Democratic",49392
"237","AZ","Female","45-54","Non-Hispanic White","Other",56473
"238","AZ","Female","45-54","Non-Hispanic White","Republican",78161
"239","AZ","Female","45-54","Other","Democratic",37678
"240","AZ","Female","45-54","Other","Other",30570
"241","AZ","Female","45-54","Other","Republican",22182
"242","AZ","Female","55-64","Black","Democratic",2795
"243","AZ","Female","55-64","Black","Other",393
"244","AZ","Female","55-64","Black","Republican",86
"245","AZ","Female","55-64","Non-Hispanic White","Democratic",68526
"246","AZ","Female","55-64","Non-Hispanic White","Other",59735
"247","AZ","Female","55-64","Non-Hispanic White","Republican",95627
"248","AZ","Female","55-64","Other","Democratic",39457
"249","AZ","Female","55-64","Other","Other",24301
"250","AZ","Female","55-64","Other","Republican",22049
"251","AZ","Female","<25","Black","Democratic",1618
"252","AZ","Female","<25","Black","Other",798
"253","AZ","Female","<25","Black","Republican",55
"254","AZ","Female","<25","Non-Hispanic White","Democratic",19522
"255","AZ","Female","<25","Non-Hispanic White","Other",32642
"256","AZ","Female","<25","Non-Hispanic White","Republican",21604
"257","AZ","Female","<25","Other","Democratic",27674
"258","AZ","Female","<25","Other","Other",34036
"259","AZ","Female","<25","Other","Republican",8241
"260","AZ","Female",">65","Black","Democratic",2946
"261","AZ","Female",">65","Black","Other",335
"262","AZ","Female",">65","Black","Republican",155
"263","AZ","Female",">65","Non-Hispanic White","Democratic",110419
"264","AZ","Female",">65","Non-Hispanic White","Other",85050
"265","AZ","Female",">65","Non-Hispanic White","Republican",162117
"266","AZ","Female",">65","Other","Democratic",52217
"267","AZ","Female",">65","Other","Other",26292
"268","AZ","Female",">65","Other","Republican",30899
"269","AZ","Male","25-34","Black","Democratic",2427
"270","AZ","Male","25-34","Black","Other",1416
"271","AZ","Male","25-34","Black","Republican",72
"272","AZ","Male","25-34","Non-Hispanic White","Democratic",31944
"273","AZ","Male","25-34","Non-Hispanic White","Other",71568
"274","AZ","Male","25-34","Non-Hispanic White","Republican",49052
"275","AZ","Male","25-34","Other","Democratic",31329
"276","AZ","Male","25-34","Other","Other",50543
"277","AZ","Male","25-34","Other","Republican",16702
"278","AZ","Male","35-44","Black","Democratic",2031
"279","AZ","Male","35-44","Black","Other",1078
"280","AZ","Male","35-44","Black","Republican",66
"281","AZ","Male","35-44","Non-Hispanic White","Democratic",28578
"282","AZ","Male","35-44","Non-Hispanic White","Other",61609
"283","AZ","Male","35-44","Non-Hispanic White","Republican",55956
"284","AZ","Male","35-44","Other","Democratic",26154
"285","AZ","Male","35-44","Other","Other",37449
"286","AZ","Male","35-44","Other","Republican",17025
"287","AZ","Male","45-54","Black","Democratic",1976
"288","AZ","Male","45-54","Black","Other",676
"289","AZ","Male","45-54","Black","Republican",80
"290","AZ","Male","45-54","Non-Hispanic White","Democratic",33067
"291","AZ","Male","45-54","Non-Hispanic White","Other",61488
"292","AZ","Male","45-54","Non-Hispanic White","Republican",80097
"293","AZ","Male","45-54","Other","Democratic",28056
"294","AZ","Male","45-54","Other","Other",32505
"295","AZ","Male","45-54","Other","Republican",22217
"296","AZ","Male","55-64","Black","Democratic",1925
"297","AZ","Male","55-64","Black","Other",457
"298","AZ","Male","55-64","Black","Republican",77
"299","AZ","Male","55-64","Non-Hispanic White","Democratic",43188
"300","AZ","Male","55-64","Non-Hispanic White","Other",61323
"301","AZ","Male","55-64","Non-Hispanic White","Republican",93096
"302","AZ","Male","55-64","Other","Democratic",29181
"303","AZ","Male","55-64","Other","Other",24779
"304","AZ","Male","55-64","Other","Republican",21400
"305","AZ","Male","<25","Black","Democratic",1235
"306","AZ","Male","<25","Black","Other",932
"307","AZ","Male","<25","Black","Republican",42
"308","AZ","Male","<25","Non-Hispanic White","Democratic",16489
"309","AZ","Male","<25","Non-Hispanic White","Other",39406
"310","AZ","Male","<25","Non-Hispanic White","Republican",26391
"311","AZ","Male","<25","Other","Democratic",21688
"312","AZ","Male","<25","Other","Other",37096
"313","AZ","Male","<25","Other","Republican",9723
"314","AZ","Male",">65","Black","Democratic",1994
"315","AZ","Male",">65","Black","Other",324
"316","AZ","Male",">65","Black","Republican",130
"317","AZ","Male",">65","Non-Hispanic White","Democratic",71965
"318","AZ","Male",">65","Non-Hispanic White","Other",89341
"319","AZ","Male",">65","Non-Hispanic White","Republican",147927
"320","AZ","Male",">65","Other","Democratic",39175
"321","AZ","Male",">65","Other","Other",27434
"322","AZ","Male",">65","Other","Republican",28482
"323","AR","Female","25-34","Black","Democratic",4873
"324","AR","Female","25-34","Black","Other",10051
"325","AR","Female","25-34","Black","Republican",322
"326","AR","Female","25-34","Non-Hispanic White","Democratic",14416
"327","AR","Female","25-34","Non-Hispanic White","Other",41532
"328","AR","Female","25-34","Non-Hispanic White","Republican",17963
"329","AR","Female","25-34","Other","Democratic",2640
"330","AR","Female","25-34","Other","Other",8860
"331","AR","Female","25-34","Other","Republican",2385
"332","AR","Female","35-44","Black","Democratic",7099
"333","AR","Female","35-44","Black","Other",6808
"334","AR","Female","35-44","Black","Republican",482
"335","AR","Female","35-44","Non-Hispanic White","Democratic",20975
"336","AR","Female","35-44","Non-Hispanic White","Other",31245
"337","AR","Female","35-44","Non-Hispanic White","Republican",27349
"338","AR","Female","35-44","Other","Democratic",2879
"339","AR","Female","35-44","Other","Other",5897
"340","AR","Female","35-44","Other","Republican",2952
"341","AR","Female","45-54","Black","Democratic",7958
"342","AR","Female","45-54","Black","Other",5038
"343","AR","Female","45-54","Black","Republican",698
"344","AR","Female","45-54","Non-Hispanic White","Democratic",28826
"345","AR","Female","45-54","Non-Hispanic White","Other",29254
"346","AR","Female","45-54","Non-Hispanic White","Republican",39402
"347","AR","Female","45-54","Other","Democratic",3011
"348","AR","Female","45-54","Other","Other",4568
"349","AR","Female","45-54","Other","Republican",3685
"350","AR","Female","55-64","Black","Democratic",10528
"351","AR","Female","55-64","Black","Other",4041
"352","AR","Female","55-64","Black","Republican",962
"353","AR","Female","55-64","Non-Hispanic White","Democratic",39273
"354","AR","Female","55-64","Non-Hispanic White","Other",25252
"355","AR","Female","55-64","Non-Hispanic White","Republican",47119
"356","AR","Female","55-64","Other","Democratic",3690
"357","AR","Female","55-64","Other","Other",3386
"358","AR","Female","55-64","Other","Republican",4085
"359","AR","Female","<25","Black","Democratic",1454
"360","AR","Female","<25","Black","Other",6793
"361","AR","Female","<25","Black","Republican",107
"362","AR","Female","<25","Non-Hispanic White","Democratic",4913
"363","AR","Female","<25","Non-Hispanic White","Other",31619
"364","AR","Female","<25","Non-Hispanic White","Republican",7364
"365","AR","Female","<25","Other","Democratic",1274
"366","AR","Female","<25","Other","Other",7782
"367","AR","Female","<25","Other","Republican",1063
"368","AR","Female",">65","Black","Democratic",12757
"369","AR","Female",">65","Black","Other",2885
"370","AR","Female",">65","Black","Republican",1599
"371","AR","Female",">65","Non-Hispanic White","Democratic",69700
"372","AR","Female",">65","Non-Hispanic White","Other",24994
"373","AR","Female",">65","Non-Hispanic White","Republican",75000
"374","AR","Female",">65","Other","Democratic",5792
"375","AR","Female",">65","Other","Other",2922
"376","AR","Female",">65","Other","Republican",6274
"377","AR","Male","25-34","Black","Democratic",2604
"378","AR","Male","25-34","Black","Other",6799
"379","AR","Male","25-34","Black","Republican",315
"380","AR","Male","25-34","Non-Hispanic White","Democratic",11968
"381","AR","Male","25-34","Non-Hispanic White","Other",38500
"382","AR","Male","25-34","Non-Hispanic White","Republican",17145
"383","AR","Male","25-34","Other","Democratic",1801
"384","AR","Male","25-34","Other","Other",7025
"385","AR","Male","25-34","Other","Republican",1808
"386","AR","Male","35-44","Black","Democratic",3237
"387","AR","Male","35-44","Black","Other",4272
"388","AR","Male","35-44","Black","Republican",421
"389","AR","Male","35-44","Non-Hispanic White","Democratic",15003
"390","AR","Male","35-44","Non-Hispanic White","Other",28204
"391","AR","Male","35-44","Non-Hispanic White","Republican",26057
"392","AR","Male","35-44","Other","Democratic",1738
"393","AR","Male","35-44","Other","Other",4633
"394","AR","Male","35-44","Other","Republican",2534
"395","AR","Male","45-54","Black","Democratic",4554
"396","AR","Male","45-54","Black","Other",3953
"397","AR","Male","45-54","Black","Republican",653
"398","AR","Male","45-54","Non-Hispanic White","Democratic",20767
"399","AR","Male","45-54","Non-Hispanic White","Other",26289
"400","AR","Male","45-54","Non-Hispanic White","Republican",37663
"401","AR","Male","45-54","Other","Democratic",2365
"402","AR","Male","45-54","Other","Other",4302
"403","AR","Male","45-54","Other","Republican",3474
"404","AR","Male","55-64","Black","Democratic",6564
"405","AR","Male","55-64","Black","Other",3793
"406","AR","Male","55-64","Black","Republican",979
"407","AR","Male","55-64","Non-Hispanic White","Democratic",28884
"408","AR","Male","55-64","Non-Hispanic White","Other",22736
"409","AR","Male","55-64","Non-Hispanic White","Republican",44700
"410","AR","Male","55-64","Other","Democratic",2838
"411","AR","Male","55-64","Other","Other",3233
"412","AR","Male","55-64","Other","Republican",3791
"413","AR","Male","<25","Black","Democratic",1211
"414","AR","Male","<25","Black","Other",6106
"415","AR","Male","<25","Black","Republican",140
"416","AR","Male","<25","Non-Hispanic White","Democratic",4815
"417","AR","Male","<25","Non-Hispanic White","Other",35957
"418","AR","Male","<25","Non-Hispanic White","Republican",8766
"419","AR","Male","<25","Other","Democratic",1059
"420","AR","Male","<25","Other","Other",7797
"421","AR","Male","<25","Other","Republican",1133
"422","AR","Male",">65","Black","Democratic",8231
"423","AR","Male",">65","Black","Other",2433
"424","AR","Male",">65","Black","Republican",1414
"425","AR","Male",">65","Non-Hispanic White","Democratic",51108
"426","AR","Male",">65","Non-Hispanic White","Other",19712
"427","AR","Male",">65","Non-Hispanic White","Republican",70090
"428","AR","Male",">65","Other","Democratic",4332
"429","AR","Male",">65","Other","Other",2528
"430","AR","Male",">65","Other","Republican",5998
"431","CA","Female","25-34","Black","Democratic",57172
"432","CA","Female","25-34","Black","Other",11644
"433","CA","Female","25-34","Black","Republican",1517
"434","CA","Female","25-34","Non-Hispanic White","Democratic",244387
"435","CA","Female","25-34","Non-Hispanic White","Other",212747
"436","CA","Female","25-34","Non-Hispanic White","Republican",147468
"437","CA","Female","25-34","Other","Democratic",421332
"438","CA","Female","25-34","Other","Other",292124
"439","CA","Female","25-34","Other","Republican",113096
"440","CA","Female","35-44","Black","Democratic",53239
"441","CA","Female","35-44","Black","Other",8863
"442","CA","Female","35-44","Black","Republican",1216
"443","CA","Female","35-44","Non-Hispanic White","Democratic",233028
"444","CA","Female","35-44","Non-Hispanic White","Other",176500
"445","CA","Female","35-44","Non-Hispanic White","Republican",158346
"446","CA","Female","35-44","Other","Democratic",364191
"447","CA","Female","35-44","Other","Other",230423
"448","CA","Female","35-44","Other","Republican",113609
"449","CA","Female","45-54","Black","Democratic",59600
"450","CA","Female","45-54","Black","Other",6641
"451","CA","Female","45-54","Black","Republican",924
"452","CA","Female","45-54","Non-Hispanic White","Democratic",293516
"453","CA","Female","45-54","Non-Hispanic White","Other",180814
"454","CA","Female","45-54","Non-Hispanic White","Republican",271587
"455","CA","Female","45-54","Other","Democratic",342601
"456","CA","Female","45-54","Other","Other",198362
"457","CA","Female","45-54","Other","Republican",149589
"458","CA","Female","55-64","Black","Democratic",61855
"459","CA","Female","55-64","Black","Other",4726
"460","CA","Female","55-64","Black","Republican",785
"461","CA","Female","55-64","Non-Hispanic White","Democratic",386338
"462","CA","Female","55-64","Non-Hispanic White","Other",169877
"463","CA","Female","55-64","Non-Hispanic White","Republican",339120
"464","CA","Female","55-64","Other","Democratic",343362
"465","CA","Female","55-64","Other","Other",156372
"466","CA","Female","55-64","Other","Republican",149844
"467","CA","Female","<25","Black","Democratic",23029
"468","CA","Female","<25","Black","Other",6213
"469","CA","Female","<25","Black","Republican",454
"470","CA","Female","<25","Non-Hispanic White","Democratic",113439
"471","CA","Female","<25","Non-Hispanic White","Other",112768
"472","CA","Female","<25","Non-Hispanic White","Republican",67580
"473","CA","Female","<25","Other","Democratic",262934
"474","CA","Female","<25","Other","Other",212386
"475","CA","Female","<25","Other","Republican",55803
"476","CA","Female",">65","Black","Democratic",74906
"477","CA","Female",">65","Black","Other",3205
"478","CA","Female",">65","Black","Republican",888
"479","CA","Female",">65","Non-Hispanic White","Democratic",569374
"480","CA","Female",">65","Non-Hispanic White","Other",166053
"481","CA","Female",">65","Non-Hispanic White","Republican",529435
"482","CA","Female",">65","Other","Democratic",421900
"483","CA","Female",">65","Other","Other",149145
"484","CA","Female",">65","Other","Republican",189106
"485","CA","Male","25-34","Black","Democratic",40451
"486","CA","Male","25-34","Black","Other",9615
"487","CA","Male","25-34","Black","Republican",1081
"488","CA","Male","25-34","Non-Hispanic White","Democratic",195805
"489","CA","Male","25-34","Non-Hispanic White","Other",227770
"490","CA","Male","25-34","Non-Hispanic White","Republican",156964
"491","CA","Male","25-34","Other","Democratic",303561
"492","CA","Male","25-34","Other","Other",261887
"493","CA","Male","25-34","Other","Republican",109201
"494","CA","Male","35-44","Black","Democratic",33418
"495","CA","Male","35-44","Black","Other",7440
"496","CA","Male","35-44","Black","Republican",740
"497","CA","Male","35-44","Non-Hispanic White","Democratic",174584
"498","CA","Male","35-44","Non-Hispanic White","Other",197258
"499","CA","Male","35-44","Non-Hispanic White","Republican",165855
"500","CA","Male","35-44","Other","Democratic",251659
"501","CA","Male","35-44","Other","Other",202768
"502","CA","Male","35-44","Other","Republican",104635
"503","CA","Male","45-54","Black","Democratic",40465
"504","CA","Male","45-54","Black","Other",6483
"505","CA","Male","45-54","Black","Republican",835
"506","CA","Male","45-54","Non-Hispanic White","Democratic",216523
"507","CA","Male","45-54","Non-Hispanic White","Other",202421
"508","CA","Male","45-54","Non-Hispanic White","Republican",278994
"509","CA","Male","45-54","Other","Democratic",273587
"510","CA","Male","45-54","Other","Other",189324
"511","CA","Male","45-54","Other","Republican",148543
"512","CA","Male","55-64","Black","Democratic",43511
"513","CA","Male","55-64","Black","Other",5232
"514","CA","Male","55-64","Black","Republican",814
"515","CA","Male","55-64","Non-Hispanic White","Democratic",276212
"516","CA","Male","55-64","Non-Hispanic White","Other",191906
"517","CA","Male","55-64","Non-Hispanic White","Republican",357764
"518","CA","Male","55-64","Other","Democratic",271938
"519","CA","Male","55-64","Other","Other",148745
"520","CA","Male","55-64","Other","Republican",151777
"521","CA","Male","<25","Black","Democratic",17168
"522","CA","Male","<25","Black","Other",5701
"523","CA","Male","<25","Black","Republican",422
"524","CA","Male","<25","Non-Hispanic White","Democratic",89435
"525","CA","Male","<25","Non-Hispanic White","Other",117951
"526","CA","Male","<25","Non-Hispanic White","Republican",78652
"527","CA","Male","<25","Other","Democratic",191857
"528","CA","Male","<25","Other","Other",191044
"529","CA","Male","<25","Other","Republican",59044
"530","CA","Male",">65","Black","Democratic",45741
"531","CA","Male",">65","Black","Other",3395
"532","CA","Male",">65","Black","Republican",851
"533","CA","Male",">65","Non-Hispanic White","Democratic",382620
"534","CA","Male",">65","Non-Hispanic White","Other",186989
"535","CA","Male",">65","Non-Hispanic White","Republican",480927
"536","CA","Male",">65","Other","Democratic",320108
"537","CA","Male",">65","Other","Other",146367
"538","CA","Male",">65","Other","Republican",177835
"539","CO","Female","25-34","Black","Democratic",5333
"540","CO","Female","25-34","Black","Other",1342
"541","CO","Female","25-34","Black","Republican",78
"542","CO","Female","25-34","Non-Hispanic White","Democratic",63352
"543","CO","Female","25-34","Non-Hispanic White","Other",90151
"544","CO","Female","25-34","Non-Hispanic White","Republican",48189
"545","CO","Female","25-34","Other","Democratic",36220
"546","CO","Female","25-34","Other","Other",37809
"547","CO","Female","25-34","Other","Republican",13290
"548","CO","Female","35-44","Black","Democratic",4884
"549","CO","Female","35-44","Black","Other",954
"550","CO","Female","35-44","Black","Republican",73
"551","CO","Female","35-44","Non-Hispanic White","Democratic",59950
"552","CO","Female","35-44","Non-Hispanic White","Other",72845
"553","CO","Female","35-44","Non-Hispanic White","Republican",53650
"554","CO","Female","35-44","Other","Democratic",32494
"555","CO","Female","35-44","Other","Other",29049
"556","CO","Female","35-44","Other","Republican",14139
"557","CO","Female","45-54","Black","Democratic",4876
"558","CO","Female","45-54","Black","Other",538
