"","sex","age","race","party","district","state","n"
"77","Female","35-44","Black","Other",6,"AL",6
"78","Female","35-44","Black","Other",7,"AL",18
"79","Female","35-44","Black","Republican",1,"AL",102
"80","Female","35-44","Black","Republican",2,"AL",106
"81","Female","35-44","Black","Republican",3,"AL",376
"82","Female","35-44","Black","Republican",4,"AL",303
"83","Female","35-44","Black","Republican",5,"AL",91
"84","Female","35-44","Black","Republican",6,"AL",107
"85","Female","35-44","Black","Republican",7,"AL",138
"86","Female","35-44","Non-Hispanic White","Democratic",1,"AL",1477
"87","Female","35-44","Non-Hispanic White","Democratic",2,"AL",1180
"88","Female","35-44","Non-Hispanic White","Democratic",3,"AL",1677
"89","Female","35-44","Non-Hispanic White","Democratic",4,"AL",1932
"90","Female","35-44","Non-Hispanic White","Democratic",5,"AL",1835
"91","Female","35-44","Non-Hispanic White","Democratic",6,"AL",1208
"92","Female","35-44","Non-Hispanic White","Democratic",7,"AL",665
"93","Female","35-44","Non-Hispanic White","Other",1,"AL",218
"94","Female","35-44","Non-Hispanic White","Other",2,"AL",238
"95","Female","35-44","Non-Hispanic White","Other",3,"AL",750
"96","Female","35-44","Non-Hispanic White","Other",4,"AL",10035
"97","Female","35-44","Non-Hispanic White","Other",5,"AL",7217
"98","Female","35-44","Non-Hispanic White","Other",6,"AL",215
"99","Female","35-44","Non-Hispanic White","Other",7,"AL",70
"100","Female","35-44","Non-Hispanic White","Republican",1,"AL",18698
"101","Female","35-44","Non-Hispanic White","Republican",2,"AL",15854
"102","Female","35-44","Non-Hispanic White","Republican",3,"AL",18099
"103","Female","35-44","Non-Hispanic White","Republican",4,"AL",12251
"104","Female","35-44","Non-Hispanic White","Republican",5,"AL",12387
"105","Female","35-44","Non-Hispanic White","Republican",6,"AL",23161
"106","Female","35-44","Non-Hispanic White","Republican",7,"AL",7779
"107","Female","35-44","Non-Hispanic White","Republican",NA,"AL",1
"108","Female","35-44","Other","Democratic",1,"AL",1359
"109","Female","35-44","Other","Democratic",2,"AL",500
"110","Female","35-44","Other","Democratic",3,"AL",1155
"111","Female","35-44","Other","Democratic",4,"AL",1115
"112","Female","35-44","Other","Democratic",5,"AL",1677
"113","Female","35-44","Other","Democratic",6,"AL",1476
"114","Female","35-44","Other","Democratic",7,"AL",540
"115","Female","35-44","Other","Other",1,"AL",1042
"116","Female","35-44","Other","Other",2,"AL",1097
"117","Female","35-44","Other","Other",3,"AL",787
"118","Female","35-44","Other","Other",4,"AL",976
"119","Female","35-44","Other","Other",5,"AL",963
"120","Female","35-44","Other","Other",6,"AL",971
"121","Female","35-44","Other","Other",7,"AL",422
"122","Female","35-44","Other","Republican",1,"AL",910
"123","Female","35-44","Other","Republican",2,"AL",734
"124","Female","35-44","Other","Republican",3,"AL",636
"125","Female","35-44","Other","Republican",4,"AL",669
"126","Female","35-44","Other","Republican",5,"AL",695
"127","Female","35-44","Other","Republican",6,"AL",897
"128","Female","35-44","Other","Republican",7,"AL",304
"129","Female","45-54","Black","Democratic",1,"AL",11074
"130","Female","45-54","Black","Democratic",2,"AL",11313
"131","Female","45-54","Black","Democratic",3,"AL",10302
"132","Female","45-54","Black","Democratic",4,"AL",2426
"133","Female","45-54","Black","Democratic",5,"AL",7416
"134","Female","45-54","Black","Democratic",6,"AL",5728
"135","Female","45-54","Black","Democratic",7,"AL",25516
"136","Female","45-54","Black","Other",1,"AL",10
"137","Female","45-54","Black","Other",2,"AL",57
"138","Female","45-54","Black","Other",3,"AL",34
"139","Female","45-54","Black","Other",4,"AL",27
"140","Female","45-54","Black","Other",5,"AL",17
"141","Female","45-54","Black","Other",6,"AL",14
"142","Female","45-54","Black","Other",7,"AL",17
"143","Female","45-54","Black","Republican",1,"AL",153
"144","Female","45-54","Black","Republican",2,"AL",123
"145","Female","45-54","Black","Republican",3,"AL",452
"146","Female","45-54","Black","Republican",4,"AL",398
"147","Female","45-54","Black","Republican",5,"AL",152
"148","Female","45-54","Black","Republican",6,"AL",227
"149","Female","45-54","Black","Republican",7,"AL",141
"150","Female","45-54","Non-Hispanic White","Democratic",1,"AL",1834
"151","Female","45-54","Non-Hispanic White","Democratic",2,"AL",1497
"152","Female","45-54","Non-Hispanic White","Democratic",3,"AL",2082
"153","Female","45-54","Non-Hispanic White","Democratic",4,"AL",2694
"154","Female","45-54","Non-Hispanic White","Democratic",5,"AL",2538
"155","Female","45-54","Non-Hispanic White","Democratic",6,"AL",1617
"156","Female","45-54","Non-Hispanic White","Democratic",7,"AL",816
"157","Female","45-54","Non-Hispanic White","Other",1,"AL",238
"158","Female","45-54","Non-Hispanic White","Other",2,"AL",284
"159","Female","45-54","Non-Hispanic White","Other",3,"AL",798
"160","Female","45-54","Non-Hispanic White","Other",4,"AL",10365
"161","Female","45-54","Non-Hispanic White","Other",5,"AL",7462
"162","Female","45-54","Non-Hispanic White","Other",6,"AL",286
"163","Female","45-54","Non-Hispanic White","Other",7,"AL",74
"164","Female","45-54","Non-Hispanic White","Republican",1,"AL",21657
"165","Female","45-54","Non-Hispanic White","Republican",2,"AL",19322
"166","Female","45-54","Non-Hispanic White","Republican",3,"AL",20256
"167","Female","45-54","Non-Hispanic White","Republican",4,"AL",16600
"168","Female","45-54","Non-Hispanic White","Republican",5,"AL",18425
"169","Female","45-54","Non-Hispanic White","Republican",6,"AL",27409
"170","Female","45-54","Non-Hispanic White","Republican",7,"AL",8332
"171","Female","45-54","Other","Democratic",1,"AL",1250
"172","Female","45-54","Other","Democratic",2,"AL",447
"173","Female","45-54","Other","Democratic",3,"AL",949
"174","Female","45-54","Other","Democratic",4,"AL",914
"175","Female","45-54","Other","Democratic",5,"AL",1747
"176","Female","45-54","Other","Democratic",6,"AL",1427
"177","Female","45-54","Other","Democratic",7,"AL",383
"178","Female","45-54","Other","Other",1,"AL",862
"179","Female","45-54","Other","Other",2,"AL",954
"180","Female","45-54","Other","Other",3,"AL",668
"181","Female","45-54","Other","Other",4,"AL",756
"182","Female","45-54","Other","Other",5,"AL",936
"183","Female","45-54","Other","Other",6,"AL",912
"184","Female","45-54","Other","Other",7,"AL",311
"185","Female","45-54","Other","Republican",1,"AL",1138
"186","Female","45-54","Other","Republican",2,"AL",895
"187","Female","45-54","Other","Republican",3,"AL",787
"188","Female","45-54","Other","Republican",4,"AL",820
"189","Female","45-54","Other","Republican",5,"AL",1079
"190","Female","45-54","Other","Republican",6,"AL",1238
"191","Female","45-54","Other","Republican",7,"AL",336
"192","Female","55-64","Black","Democratic",1,"AL",11586
"193","Female","55-64","Black","Democratic",2,"AL",10771
"194","Female","55-64","Black","Democratic",3,"AL",9697
"195","Female","55-64","Black","Democratic",4,"AL",2420
"196","Female","55-64","Black","Democratic",5,"AL",6441
"197","Female","55-64","Black","Democratic",6,"AL",4833
"198","Female","55-64","Black","Democratic",7,"AL",28393
"199","Female","55-64","Black","Other",1,"AL",17
"200","Female","55-64","Black","Other",2,"AL",46
"201","Female","55-64","Black","Other",3,"AL",42
"202","Female","55-64","Black","Other",4,"AL",22
"203","Female","55-64","Black","Other",5,"AL",18
"204","Female","55-64","Black","Other",6,"AL",19
"205","Female","55-64","Black","Other",7,"AL",24
"206","Female","55-64","Black","Republican",1,"AL",195
"207","Female","55-64","Black","Republican",2,"AL",170
"208","Female","55-64","Black","Republican",3,"AL",556
"209","Female","55-64","Black","Republican",4,"AL",459
"210","Female","55-64","Black","Republican",5,"AL",258
"211","Female","55-64","Black","Republican",6,"AL",367
"212","Female","55-64","Black","Republican",7,"AL",221
"213","Female","55-64","Non-Hispanic White","Democratic",1,"AL",2388
"214","Female","55-64","Non-Hispanic White","Democratic",2,"AL",2174
"215","Female","55-64","Non-Hispanic White","Democratic",3,"AL",2814
"216","Female","55-64","Non-Hispanic White","Democratic",4,"AL",3555
"217","Female","55-64","Non-Hispanic White","Democratic",5,"AL",3330
"218","Female","55-64","Non-Hispanic White","Democratic",6,"AL",2296
"219","Female","55-64","Non-Hispanic White","Democratic",7,"AL",1210
"220","Female","55-64","Non-Hispanic White","Other",1,"AL",332
"221","Female","55-64","Non-Hispanic White","Other",2,"AL",414
"222","Female","55-64","Non-Hispanic White","Other",3,"AL",883
"223","Female","55-64","Non-Hispanic White","Other",4,"AL",9297
"224","Female","55-64","Non-Hispanic White","Other",5,"AL",6642
"225","Female","55-64","Non-Hispanic White","Other",6,"AL",375
"226","Female","55-64","Non-Hispanic White","Other",7,"AL",98
"227","Female","55-64","Non-Hispanic White","Republican",1,"AL",24521
"228","Female","55-64","Non-Hispanic White","Republican",2,"AL",21941
"229","Female","55-64","Non-Hispanic White","Republican",3,"AL",22270
"230","Female","55-64","Non-Hispanic White","Republican",4,"AL",19708
"231","Female","55-64","Non-Hispanic White","Republican",5,"AL",20224
"232","Female","55-64","Non-Hispanic White","Republican",6,"AL",29172
"233","Female","55-64","Non-Hispanic White","Republican",7,"AL",10074
"234","Female","55-64","Other","Democratic",1,"AL",1069
"235","Female","55-64","Other","Democratic",2,"AL",442
"236","Female","55-64","Other","Democratic",3,"AL",868
"237","Female","55-64","Other","Democratic",4,"AL",742
"238","Female","55-64","Other","Democratic",5,"AL",1462
"239","Female","55-64","Other","Democratic",6,"AL",1024
"240","Female","55-64","Other","Democratic",7,"AL",364
"241","Female","55-64","Other","Other",1,"AL",775
"242","Female","55-64","Other","Other",2,"AL",748
"243","Female","55-64","Other","Other",3,"AL",477
"244","Female","55-64","Other","Other",4,"AL",668
"245","Female","55-64","Other","Other",5,"AL",776
"246","Female","55-64","Other","Other",6,"AL",723
"247","Female","55-64","Other","Other",7,"AL",264
"248","Female","55-64","Other","Republican",1,"AL",1412
"249","Female","55-64","Other","Republican",2,"AL",1082
"250","Female","55-64","Other","Republican",3,"AL",872
"251","Female","55-64","Other","Republican",4,"AL",944
"252","Female","55-64","Other","Republican",5,"AL",1268
"253","Female","55-64","Other","Republican",6,"AL",1438
"254","Female","55-64","Other","Republican",7,"AL",456
"255","Female","<25","Black","Democratic",1,"AL",6349
"256","Female","<25","Black","Democratic",2,"AL",6561
"257","Female","<25","Black","Democratic",3,"AL",6188
"258","Female","<25","Black","Democratic",4,"AL",1367
"259","Female","<25","Black","Democratic",5,"AL",4993
"260","Female","<25","Black","Democratic",6,"AL",2718
"261","Female","<25","Black","Democratic",7,"AL",15510
"262","Female","<25","Black","Other",1,"AL",4
"263","Female","<25","Black","Other",2,"AL",28
"264","Female","<25","Black","Other",3,"AL",14
"265","Female","<25","Black","Other",4,"AL",11
"266","Female","<25","Black","Other",5,"AL",5
"267","Female","<25","Black","Other",6,"AL",7
"268","Female","<25","Black","Other",7,"AL",14
"269","Female","<25","Black","Republican",1,"AL",47
"270","Female","<25","Black","Republican",2,"AL",45
"271","Female","<25","Black","Republican",3,"AL",121
"272","Female","<25","Black","Republican",4,"AL",115
"273","Female","<25","Black","Republican",5,"AL",57
"274","Female","<25","Black","Republican",6,"AL",46
"275","Female","<25","Black","Republican",7,"AL",51
"276","Female","<25","Non-Hispanic White","Democratic",1,"AL",603
"277","Female","<25","Non-Hispanic White","Democratic",2,"AL",493
"278","Female","<25","Non-Hispanic White","Democratic",3,"AL",708
"279","Female","<25","Non-Hispanic White","Democratic",4,"AL",762
"280","Female","<25","Non-Hispanic White","Democratic",5,"AL",827
"281","Female","<25","Non-Hispanic White","Democratic",6,"AL",624
"282","Female","<25","Non-Hispanic White","Democratic",7,"AL",328
"283","Female","<25","Non-Hispanic White","Other",1,"AL",2896
"284","Female","<25","Non-Hispanic White","Other",2,"AL",3075
"285","Female","<25","Non-Hispanic White","Other",3,"AL",4230
"286","Female","<25","Non-Hispanic White","Other",4,"AL",6552
"287","Female","<25","Non-Hispanic White","Other",5,"AL",4630
"288","Female","<25","Non-Hispanic White","Other",6,"AL",3029
"289","Female","<25","Non-Hispanic White","Other",7,"AL",2930
"290","Female","<25","Non-Hispanic White","Republican",1,"AL",5126
"291","Female","<25","Non-Hispanic White","Republican",2,"AL",4691
"292","Female","<25","Non-Hispanic White","Republican",3,"AL",4634
"293","Female","<25","Non-Hispanic White","Republican",4,"AL",4405
"294","Female","<25","Non-Hispanic White","Republican",5,"AL",4806
"295","Female","<25","Non-Hispanic White","Republican",6,"AL",7380
"296","Female","<25","Non-Hispanic White","Republican",7,"AL",1976
"297","Female","<25","Other","Democratic",1,"AL",709
"298","Female","<25","Other","Democratic",2,"AL",269
"299","Female","<25","Other","Democratic",3,"AL",611
"300","Female","<25","Other","Democratic",4,"AL",964
"301","Female","<25","Other","Democratic",5,"AL",971
"302","Female","<25","Other","Democratic",6,"AL",895
"303","Female","<25","Other","Democratic",7,"AL",540
"304","Female","<25","Other","Other",1,"AL",442
"305","Female","<25","Other","Other",2,"AL",640
"306","Female","<25","Other","Other",3,"AL",500
"307","Female","<25","Other","Other",4,"AL",612
"308","Female","<25","Other","Other",5,"AL",560
"309","Female","<25","Other","Other",6,"AL",436
"310","Female","<25","Other","Other",7,"AL",390
"311","Female","<25","Other","Republican",1,"AL",505
"312","Female","<25","Other","Republican",2,"AL",389
"313","Female","<25","Other","Republican",3,"AL",343
"314","Female","<25","Other","Republican",4,"AL",441
"315","Female","<25","Other","Republican",5,"AL",502
"316","Female","<25","Other","Republican",6,"AL",588
"317","Female","<25","Other","Republican",7,"AL",177
"318","Female",">65","Black","Democratic",1,"AL",12125
"319","Female",">65","Black","Democratic",2,"AL",11065
"320","Female",">65","Black","Democratic",3,"AL",10381
"321","Female",">65","Black","Democratic",4,"AL",2748
"322","Female",">65","Black","Democratic",5,"AL",6282
"323","Female",">65","Black","Democratic",6,"AL",3942
"324","Female",">65","Black","Democratic",7,"AL",30312
"325","Female",">65","Black","Other",1,"AL",17
"326","Female",">65","Black","Other",2,"AL",58
"327","Female",">65","Black","Other",3,"AL",58
"328","Female",">65","Black","Other",4,"AL",30
"329","Female",">65","Black","Other",5,"AL",24
"330","Female",">65","Black","Other",6,"AL",17
"331","Female",">65","Black","Other",7,"AL",24
"332","Female",">65","Black","Republican",1,"AL",245
"333","Female",">65","Black","Republican",2,"AL",281
"334","Female",">65","Black","Republican",3,"AL",752
"335","Female",">65","Black","Republican",4,"AL",564
"336","Female",">65","Black","Republican",5,"AL",295
"337","Female",">65","Black","Republican",6,"AL",467
"338","Female",">65","Black","Republican",7,"AL",265
"339","Female",">65","Non-Hispanic White","Democratic",1,"AL",3977
"340","Female",">65","Non-Hispanic White","Democratic",2,"AL",3810
"341","Female",">65","Non-Hispanic White","Democratic",3,"AL",5216
"342","Female",">65","Non-Hispanic White","Democratic",4,"AL",6853
"343","Female",">65","Non-Hispanic White","Democratic",5,"AL",5607
"344","Female",">65","Non-Hispanic White","Democratic",6,"AL",3698
"345","Female",">65","Non-Hispanic White","Democratic",7,"AL",2115
"346","Female",">65","Non-Hispanic White","Other",1,"AL",644
"347","Female",">65","Non-Hispanic White","Other",2,"AL",768
"348","Female",">65","Non-Hispanic White","Other",3,"AL",1300
"349","Female",">65","Non-Hispanic White","Other",4,"AL",11782
"350","Female",">65","Non-Hispanic White","Other",5,"AL",8101
"351","Female",">65","Non-Hispanic White","Other",6,"AL",605
"352","Female",">65","Non-Hispanic White","Other",7,"AL",209
"353","Female",">65","Non-Hispanic White","Republican",1,"AL",36655
"354","Female",">65","Non-Hispanic White","Republican",2,"AL",34428
"355","Female",">65","Non-Hispanic White","Republican",3,"AL",32356
"356","Female",">65","Non-Hispanic White","Republican",4,"AL",32692
"357","Female",">65","Non-Hispanic White","Republican",5,"AL",29376
"358","Female",">65","Non-Hispanic White","Republican",6,"AL",40574
"359","Female",">65","Non-Hispanic White","Republican",7,"AL",16915
"360","Female",">65","Non-Hispanic White","Republican",NA,"AL",1
"361","Female",">65","Other","Democratic",1,"AL",1176
"362","Female",">65","Other","Democratic",2,"AL",512
"363","Female",">65","Other","Democratic",3,"AL",855
"364","Female",">65","Other","Democratic",4,"AL",858
"365","Female",">65","Other","Democratic",5,"AL",1392
"366","Female",">65","Other","Democratic",6,"AL",979
"367","Female",">65","Other","Democratic",7,"AL",430
"368","Female",">65","Other","Other",1,"AL",923
"369","Female",">65","Other","Other",2,"AL",838
"370","Female",">65","Other","Other",3,"AL",619
"371","Female",">65","Other","Other",4,"AL",787
"372","Female",">65","Other","Other",5,"AL",826
"373","Female",">65","Other","Other",6,"AL",793
"374","Female",">65","Other","Other",7,"AL",390
"375","Female",">65","Other","Republican",1,"AL",2190
"376","Female",">65","Other","Republican",2,"AL",1595
"377","Female",">65","Other","Republican",3,"AL",1301
"378","Female",">65","Other","Republican",4,"AL",1640
"379","Female",">65","Other","Republican",5,"AL",1783
"380","Female",">65","Other","Republican",6,"AL",1945
"381","Female",">65","Other","Republican",7,"AL",773
"382","Male","25-34","Black","Democratic",1,"AL",8449
"383","Male","25-34","Black","Democratic",2,"AL",8885
"384","Male","25-34","Black","Democratic",3,"AL",8398
"385","Male","25-34","Black","Democratic",4,"AL",1872
"386","Male","25-34","Black","Democratic",5,"AL",7745
"387","Male","25-34","Black","Democratic",6,"AL",3894
"388","Male","25-34","Black","Democratic",7,"AL",23214
"389","Male","25-34","Black","Other",1,"AL",5
"390","Male","25-34","Black","Other",2,"AL",31
"391","Male","25-34","Black","Other",3,"AL",26
"392","Male","25-34","Black","Other",4,"AL",19
"393","Male","25-34","Black","Other",5,"AL",11
"394","Male","25-34","Black","Other",6,"AL",14
"395","Male","25-34","Black","Other",7,"AL",16
"396","Male","25-34","Black","Republican",1,"AL",77
"397","Male","25-34","Black","Republican",2,"AL",94
"398","Male","25-34","Black","Republican",3,"AL",218
"399","Male","25-34","Black","Republican",4,"AL",220
"400","Male","25-34","Black","Republican",5,"AL",110
"401","Male","25-34","Black","Republican",6,"AL",123
"402","Male","25-34","Black","Republican",7,"AL",122
"403","Male","25-34","Non-Hispanic White","Democratic",1,"AL",934
"404","Male","25-34","Non-Hispanic White","Democratic",2,"AL",779
"405","Male","25-34","Non-Hispanic White","Democratic",3,"AL",1198
"406","Male","25-34","Non-Hispanic White","Democratic",4,"AL",1382
"407","Male","25-34","Non-Hispanic White","Democratic",5,"AL",1280
"408","Male","25-34","Non-Hispanic White","Democratic",6,"AL",1013
"409","Male","25-34","Non-Hispanic White","Democratic",7,"AL",587
"410","Male","25-34","Non-Hispanic White","Other",1,"AL",2919
"411","Male","25-34","Non-Hispanic White","Other",2,"AL",2710
"412","Male","25-34","Non-Hispanic White","Other",3,"AL",4174
"413","Male","25-34","Non-Hispanic White","Other",4,"AL",8958
"414","Male","25-34","Non-Hispanic White","Other",5,"AL",7580
"415","Male","25-34","Non-Hispanic White","Other",6,"AL",3571
"416","Male","25-34","Non-Hispanic White","Other",7,"AL",2927
"417","Male","25-34","Non-Hispanic White","Republican",1,"AL",11270
"418","Male","25-34","Non-Hispanic White","Republican",2,"AL",10215
"419","Male","25-34","Non-Hispanic White","Republican",3,"AL",11413
"420","Male","25-34","Non-Hispanic White","Republican",4,"AL",8538
"421","Male","25-34","Non-Hispanic White","Republican",5,"AL",9237
"422","Male","25-34","Non-Hispanic White","Republican",6,"AL",14611
"423","Male","25-34","Non-Hispanic White","Republican",7,"AL",5967
"424","Male","25-34","Other","Democratic",1,"AL",857
"425","Male","25-34","Other","Democratic",2,"AL",294
"426","Male","25-34","Other","Democratic",3,"AL",721
"427","Male","25-34","Other","Democratic",4,"AL",768
"428","Male","25-34","Other","Democratic",5,"AL",1155
"429","Male","25-34","Other","Democratic",6,"AL",938
"430","Male","25-34","Other","Democratic",7,"AL",595
"431","Male","25-34","Other","Other",1,"AL",726
"432","Male","25-34","Other","Other",2,"AL",824
"433","Male","25-34","Other","Other",3,"AL",727
"434","Male","25-34","Other","Other",4,"AL",778
"435","Male","25-34","Other","Other",5,"AL",818
"436","Male","25-34","Other","Other",6,"AL",832
"437","Male","25-34","Other","Other",7,"AL",590
"438","Male","25-34","Other","Republican",1,"AL",695
"439","Male","25-34","Other","Republican",2,"AL",469
"440","Male","25-34","Other","Republican",3,"AL",426
"441","Male","25-34","Other","Republican",4,"AL",485
"442","Male","25-34","Other","Republican",5,"AL",562
"443","Male","25-34","Other","Republican",6,"AL",671
"444","Male","25-34","Other","Republican",7,"AL",264
"445","Male","35-44","Black","Democratic",1,"AL",7569
"446","Male","35-44","Black","Democratic",2,"AL",7375
"447","Male","35-44","Black","Democratic",3,"AL",7044
"448","Male","35-44","Black","Democratic",4,"AL",1508
"449","Male","35-44","Black","Democratic",5,"AL",5747
"450","Male","35-44","Black","Democratic",6,"AL",3906
"451","Male","35-44","Black","Democratic",7,"AL",18171
"452","Male","35-44","Black","Other",1,"AL",12
"453","Male","35-44","Black","Other",2,"AL",33
"454","Male","35-44","Black","Other",3,"AL",33
"455","Male","35-44","Black","Other",4,"AL",14
"456","Male","35-44","Black","Other",5,"AL",18
"457","Male","35-44","Black","Other",6,"AL",8
"458","Male","35-44","Black","Other",7,"AL",19
"459","Male","35-44","Black","Republican",1,"AL",72
"460","Male","35-44","Black","Republican",2,"AL",74
"461","Male","35-44","Black","Republican",3,"AL",310
"462","Male","35-44","Black","Republican",4,"AL",267
"463","Male","35-44","Black","Republican",5,"AL",74
"464","Male","35-44","Black","Republican",6,"AL",81
"465","Male","35-44","Black","Republican",7,"AL",111
"466","Male","35-44","Non-Hispanic White","Democratic",1,"AL",1209
"467","Male","35-44","Non-Hispanic White","Democratic",2,"AL",999
"468","Male","35-44","Non-Hispanic White","Democratic",3,"AL",1418
"469","Male","35-44","Non-Hispanic White","Democratic",4,"AL",1821
"470","Male","35-44","Non-Hispanic White","Democratic",5,"AL",1558
"471","Male","35-44","Non-Hispanic White","Democratic",6,"AL",1052
"472","Male","35-44","Non-Hispanic White","Democratic",7,"AL",594
"473","Male","35-44","Non-Hispanic White","Other",1,"AL",172
"474","Male","35-44","Non-Hispanic White","Other",2,"AL",221
"475","Male","35-44","Non-Hispanic White","Other",3,"AL",589
"476","Male","35-44","Non-Hispanic White","Other",4,"AL",7639
"477","Male","35-44","Non-Hispanic White","Other",5,"AL",5948
"478","Male","35-44","Non-Hispanic White","Other",6,"AL",197
"479","Male","35-44","Non-Hispanic White","Other",7,"AL",53
"480","Male","35-44","Non-Hispanic White","Republican",1,"AL",15719
"481","Male","35-44","Non-Hispanic White","Republican",2,"AL",13421
"482","Male","35-44","Non-Hispanic White","Republican",3,"AL",15147
"483","Male","35-44","Non-Hispanic White","Republican",4,"AL",11155
"484","Male","35-44","Non-Hispanic White","Republican",5,"AL",11447
"485","Male","35-44","Non-Hispanic White","Republican",6,"AL",20346
"486","Male","35-44","Non-Hispanic White","Republican",7,"AL",7338
"487","Male","35-44","Other","Democratic",1,"AL",897
"488","Male","35-44","Other","Democratic",2,"AL",300
"489","Male","35-44","Other","Democratic",3,"AL",665
"490","Male","35-44","Other","Democratic",4,"AL",616
"491","Male","35-44","Other","Democratic",5,"AL",1184
"492","Male","35-44","Other","Democratic",6,"AL",945
"493","Male","35-44","Other","Democratic",7,"AL",371
"494","Male","35-44","Other","Other",1,"AL",731
"495","Male","35-44","Other","Other",2,"AL",788
"496","Male","35-44","Other","Other",3,"AL",624
"497","Male","35-44","Other","Other",4,"AL",610
"498","Male","35-44","Other","Other",5,"AL",770
"499","Male","35-44","Other","Other",6,"AL",773
"500","Male","35-44","Other","Other",7,"AL",361
"501","Male","35-44","Other","Republican",1,"AL",738
"502","Male","35-44","Other","Republican",2,"AL",501
"503","Male","35-44","Other","Republican",3,"AL",472
"504","Male","35-44","Other","Republican",4,"AL",507
"505","Male","35-44","Other","Republican",5,"AL",530
"506","Male","35-44","Other","Republican",6,"AL",670
