"","metro_status","weight_w","vote_choice","likely_voter","sex","age","race","income","party","census_region"
"96","Metropolitan",0.1639001362,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","Northeast"
"97","Metropolitan",0.111674014,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Other","West"
"98","Metropolitan",0.1852027547,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Other","Northeast"
"99","Non-metropolitan",0.123771103,"Republican",1,"Female","65+","Non-Hispanic White","$75k-$100k","Republican","North Central"
"100","Metropolitan",0.1209641794,"Democrat",1,"Male","50-64","Other","$150k or more","Democratic","West"
"101","Metropolitan",0.1321772166,"Democrat",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Democratic","West"
"102","Metropolitan",0.426319577,"Republican",1,"Male","50-64","Other","$50k-$75k","Other","West"
"103","Non-metropolitan",0.1953728836,"Unsure/Other",1,"Male","30-49","Non-Hispanic White","$150k or more","Other","West"
"104","Metropolitan",0.1482429304,"Democrat",1,"Female","30-49","Non-Hispanic White","$150k or more","Democratic","West"
"105","Metropolitan",0.1439113784,"Democrat",0,"Female","50-64","Non-Hispanic White","$100k-$150k","Democratic","South"
"106","Metropolitan",3.3797090208,"Republican",1,"Female","50-64","Non-Hispanic White","less than $30k","Republican","North Central"
"107","Metropolitan",0.184558988,"Republican",1,"Male","65+","Non-Hispanic White","$50k-$75k","Republican","South"
"108","Metropolitan",0.2347252408,"Democrat",1,"Female","65+","Non-Hispanic White","$50k-$75k","Democratic","Northeast"
"109","Metropolitan",0.9353714937,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","West"
"110","Metropolitan",0.5142938346,"Unsure/Other",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","West"
"111","Metropolitan",0.1432838776,"Republican",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Republican","Northeast"
"112","Metropolitan",0.3415774465,"Unsure/Other",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","North Central"
"113","Metropolitan",0.1295296275,"Democrat",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","West"
"114","Metropolitan",2.3301887958,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","South"
"115","Metropolitan",0.0821026288,"Democrat",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","North Central"
"116","Metropolitan",0.0821026288,"Republican",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Other","North Central"
"117","Non-metropolitan",0.1489306134,"Republican",1,"Female","50-64","Non-Hispanic White","less than $30k","Republican","North Central"
"118","Metropolitan",0.1549337588,"Democrat",1,"Female","50-64","Black","$50k-$75k","Democratic","North Central"
"119","Metropolitan",0.5636513976,"Democrat",1,"Male","30-49","Non-Hispanic White","$75k-$100k","Other","Northeast"
"120","Metropolitan",0.0821026288,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","West"
"121","Metropolitan",0.1437945509,"Republican",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Republican","South"
"122","Metropolitan",1.6817612164,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","North Central"
"123","Metropolitan",0.3766394495,"Democrat",1,"Female","50-64","Non-Hispanic White","less than $30k","Democratic","South"
"124","Non-metropolitan",0.0915525738,"Unsure/Other",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Republican","South"
"125","Metropolitan",0.1176652586,"Unsure/Other",1,"Female","50-64","Other","less than $30k","Other","West"
"126","Non-metropolitan",2.9484327323,"Republican",1,"Female","65+","Non-Hispanic White","$75k-$100k","Republican","North Central"
"127","Metropolitan",0.1129862205,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","South"
"128","Metropolitan",0.4606339835,"Democrat",1,"Female","65+","Non-Hispanic White","$150k or more","Democratic","North Central"
"129","Metropolitan",0.2613738161,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Democratic","West"
"130","Metropolitan",0.8407572368,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","South"
"131","Metropolitan",0.1542915521,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Republican","North Central"
"132","Non-metropolitan",0.1980166835,"Unsure/Other",1,"Female","50-64","Non-Hispanic White","less than $30k","Democratic","North Central"
"133","Non-metropolitan",0.6481974257,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","Northeast"
"134","Metropolitan",0.1979009516,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"135","Metropolitan",0.4288562599,"Democrat",1,"Male","30-49","Non-Hispanic White","$150k or more","Other","South"
"136","Metropolitan",0.1985321993,"Republican",1,"Female","30-49","Non-Hispanic White","$30k-$50k","Republican","North Central"
"137","Metropolitan",0.8193498362,"Republican",1,"Female","65+","Non-Hispanic White","$150k or more","Republican","West"
"138","Metropolitan",0.3201424868,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","West"
"139","Non-metropolitan",0.2003468415,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","South"
"140","Metropolitan",0.1696044759,"Democrat",1,"Female","65+","Non-Hispanic White","$50k-$75k","Democratic","South"
"141","Metropolitan",0.1468348112,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"142","Metropolitan",0.1024580277,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","South"
"143","Non-metropolitan",7.6201779583,"Unsure/Other",1,"Female","65+","Non-Hispanic White","less than $30k","Other","West"
"144","Metropolitan",0.7995181991,"Republican",1,"Female","65+","Non-Hispanic White","$150k or more","Republican","West"
"145","Metropolitan",0.1400046645,"Democrat",1,"Female","65+","Non-Hispanic White","less than $30k","Democratic","South"
"146","Metropolitan",0.1884483838,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Other","West"
"147","Metropolitan",0.3318456928,"Democrat",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Other","North Central"
"148","Metropolitan",0.1561920552,"Democrat",1,"Female","65+","Other","$50k-$75k","Other","South"
"149","Metropolitan",0.1200383204,"Democrat",0,"Female","30-49","Non-Hispanic White","$150k or more","Democratic","Northeast"
"150","Non-metropolitan",0.5640608567,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","Northeast"
"151","Metropolitan",0.1188508947,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Republican","West"
"152","Metropolitan",0.084534659,"Unsure/Other",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","South"
"153","Metropolitan",0.0821026288,"Democrat",1,"Male","65+","Non-Hispanic White","less than $30k","Democratic","South"
"154","Non-metropolitan",0.765149006,"Democrat",0,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","North Central"
"155","Metropolitan",0.2536903285,"Democrat",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Other","Northeast"
"156","Metropolitan",0.7986995115,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Republican","North Central"
"157","Non-metropolitan",0.4933288912,"Unsure/Other",1,"Female","30-49","Non-Hispanic White","less than $30k","Other","North Central"
"158","Non-metropolitan",0.1162946768,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","West"
"159","Metropolitan",0.6858293934,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Other","West"
"160","Metropolitan",0.2671659325,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","West"
"161","Non-metropolitan",0.3989278691,"Republican",0,"Male","65+","Other","$50k-$75k","Other","West"
"162","Metropolitan",0.4287605363,"Unsure/Other",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Republican","West"
"163","Metropolitan",1.012294005,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Other","Northeast"
"164","Metropolitan",0.3080360116,"Republican",1,"Female","50-64","Non-Hispanic White","$150k or more","Other","Northeast"
"165","Non-metropolitan",0.7484130778,"Democrat",1,"Female","65+","Non-Hispanic White","$150k or more","Other","South"
"166","Non-metropolitan",0.0903299052,"Democrat",1,"Female","30-49","Non-Hispanic White","$30k-$50k","Other","West"
"167","Metropolitan",0.1285800784,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Democratic","West"
"168","Non-metropolitan",0.1456957659,"Republican",1,"Male","50-64","Other","$100k-$150k","Republican","South"
"169","Metropolitan",0.1156375752,"Democrat",1,"Male","65+","Non-Hispanic White","$50k-$75k","Democratic","South"
"170","Metropolitan",0.0956194739,"Democrat",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Other","North Central"
"171","Metropolitan",0.0979091553,"Democrat",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Other","Northeast"
"172","Metropolitan",4.5089377833,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Other","South"
"173","Metropolitan",0.096962192,"Republican",1,"Male","65+","Non-Hispanic White","$75k-$100k","Republican","South"
"174","Metropolitan",0.1320114712,"Democrat",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Democratic","West"
"175","Non-metropolitan",0.282056271,"Republican",1,"Female","50-64","Non-Hispanic White","less than $30k","Republican","North Central"
"176","Metropolitan",0.2124957975,"Unsure/Other",0,"Female","30-49","Non-Hispanic White","$50k-$75k","Other","South"
"177","Metropolitan",0.3046016883,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","West"
"178","Metropolitan",0.5516656793,"Republican",1,"Female","50-64","Non-Hispanic White","$150k or more","Other","West"
"179","Metropolitan",0.3285215979,"Democrat",1,"Male","30-49","Non-Hispanic White","$150k or more","Other","North Central"
"180","Metropolitan",0.7416091091,"Republican",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Republican","North Central"
"181","Metropolitan",0.3147173976,"Republican",1,"Female","18-29","Other","$50k-$75k","Other","North Central"
"182","Metropolitan",0.7134741888,"Democrat",1,"Male","65+","Other","$150k or more","Democratic","Northeast"
"183","Metropolitan",1.0109786715,"Republican",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Republican","South"
"184","Metropolitan",0.0915863933,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","North Central"
"185","Metropolitan",0.1089076338,"Republican",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Republican","West"
"186","Non-metropolitan",0.1294702915,"Republican",1,"Female","65+","Non-Hispanic White","$75k-$100k","Republican","South"
"187","Metropolitan",0.372145179,"Republican",0,"Female","50-64","Other","$75k-$100k","Republican","South"
"188","Metropolitan",0.2140697312,"Democrat",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Democratic","South"
"189","Metropolitan",0.0821026288,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","South"
"190","Metropolitan",0.2120855955,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"191","Metropolitan",0.4770689337,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Other","West"
"192","Metropolitan",0.1898795775,"Republican",1,"Female","65+","Other","$30k-$50k","Other","West"
"193","Metropolitan",0.3102215888,"Republican",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Republican","North Central"
"194","Metropolitan",0.1783415518,"Democrat",1,"Female","50-64","Other","$75k-$100k","Democratic","South"
"195","Metropolitan",0.5308998408,"Democrat",1,"Female","65+","Non-Hispanic White","$150k or more","Democratic","West"
"196","Metropolitan",0.159566534,"Republican",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Republican","Northeast"
"197","Non-metropolitan",1.3984093706,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","North Central"
"198","Non-metropolitan",0.9009633195,"Republican",1,"Male","50-64","Non-Hispanic White","less than $30k","Republican","South"
"199","Metropolitan",0.4040215743,"Democrat",1,"Male","65+","Other","less than $30k","Democratic","West"
"200","Metropolitan",0.1802603622,"Republican",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Republican","Northeast"
"201","Metropolitan",1.0934735921,"Republican",1,"Male","65+","Black","$100k-$150k","Other","South"
"202","Metropolitan",0.1617078721,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Other","North Central"
"203","Metropolitan",0.2671659325,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Democratic","West"
"204","Metropolitan",0.1301066047,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","Northeast"
"205","Metropolitan",0.2254412744,"Democrat",1,"Female","65+","Non-Hispanic White","less than $30k","Democratic","South"
"206","Metropolitan",0.9185635898,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","West"
"207","Metropolitan",0.1096866454,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Other","South"
"208","Metropolitan",0.5330465337,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","West"
"209","Metropolitan",0.8071886997,"Unsure/Other",1,"Female","65+","Non-Hispanic White","less than $30k","Other","Northeast"
"210","Metropolitan",0.1987407172,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Other","West"
"211","Metropolitan",0.620582296,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Other","Northeast"
"212","Metropolitan",0.3844136207,"Democrat",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","West"
"213","Metropolitan",0.8991178856,"Republican",1,"Male","30-49","Non-Hispanic White","$50k-$75k","Republican","North Central"
"214","Metropolitan",0.2316407627,"Republican",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Republican","Northeast"
"215","Metropolitan",0.6436511878,"Unsure/Other",0,"Female","30-49","Non-Hispanic White","less than $30k","Other","South"
"216","Metropolitan",0.1060272077,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","North Central"
"217","Metropolitan",0.1258949233,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","Northeast"
"218","Metropolitan",0.104648766,"Republican",1,"Male","30-49","Non-Hispanic White","$100k-$150k","Republican","South"
"219","Metropolitan",0.2592218752,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","North Central"
"220","Metropolitan",0.0821026288,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Democratic","North Central"
"221","Metropolitan",0.1088416839,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Democratic","South"
"222","Metropolitan",0.0993340942,"Democrat",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Democratic","West"
"223","Metropolitan",0.2973098539,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Other","Northeast"
"224","Metropolitan",0.2998608899,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","Northeast"
"225","Non-metropolitan",0.3132745537,"Republican",1,"Female","30-49","Non-Hispanic White","$50k-$75k","Republican","Northeast"
"226","Metropolitan",0.6956638375,"Republican",1,"Female","65+","Non-Hispanic White","$75k-$100k","Republican","North Central"
"227","Metropolitan",0.1348138142,"Democrat",1,"Female","65+","Non-Hispanic White","$150k or more","Democratic","South"
"228","Metropolitan",0.5142772322,"Republican",1,"Female","65+","Non-Hispanic White","$100k-$150k","Republican","South"
"229","Metropolitan",0.1142263772,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Other","South"
"230","Metropolitan",0.5728401185,"Republican",1,"Female","50-64","Non-Hispanic White","$150k or more","Republican","Northeast"
"231","Metropolitan",0.1097456891,"Democrat",1,"Male","50-64","Non-Hispanic White","$30k-$50k","Other","West"
"232","Metropolitan",0.20980805,"Democrat",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Other","Northeast"
"233","Metropolitan",0.6540659599,"Unsure/Other",1,"Female","30-49","Other","$150k or more","Other","West"
"234","Metropolitan",0.3485917476,"Democrat",1,"Female","30-49","Non-Hispanic White","$150k or more","Other","Northeast"
"235","Metropolitan",0.119633563,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Democratic","Northeast"
"236","Non-metropolitan",0.0995058175,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Republican","North Central"
"237","Metropolitan",0.1782663047,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Republican","South"
"238","Metropolitan",0.1607039523,"Republican",0,"Female","50-64","Non-Hispanic White","$150k or more","Republican","South"
"239","Metropolitan",0.163135225,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Republican","West"
"240","Metropolitan",0.1671861003,"Unsure/Other",1,"Female","65+","Non-Hispanic White","less than $30k","Other","North Central"
"241","Metropolitan",0.167067008,"Democrat",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Democratic","Northeast"
"242","Metropolitan",2.5623302452,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","West"
"243","Metropolitan",0.1549316195,"Democrat",1,"Female","65+","Non-Hispanic White","$150k or more","Democratic","West"
